Dataset,Class,Metric,Comuzzi,2. Oracle (Local F1),3. Unsupervised (Local GMM Separation),5. Fixed Config Cyclical (IsolationForest | L3_Global | pure_cyclical),6. Fixed Config DT+Cyclical (IsolationForest | L3_Global | delta_cyclical)
bpi_2012,Normal,Precision,0.920,0.950,0.927,0.927,0.943
bpi_2012,Normal,Recall,0.610,0.833,0.906,0.906,0.795
bpi_2012,Normal,F1-Score,0.730,0.888,0.917,0.917,0.863
bpi_2012,Anomalous,Precision,0.110,0.292,0.306,0.306,0.238
bpi_2012,Anomalous,Recall,0.470,0.612,0.367,0.367,0.569
bpi_2012,Anomalous,F1-Score,0.180,0.395,0.334,0.334,0.335
bpi_2012,Average,Precision,0.839,0.885,0.865,0.865,0.872
bpi_2012,Average,Recall,0.596,0.811,0.852,0.852,0.773
bpi_2012,Average,F1-Score,0.675,0.839,0.858,0.858,0.810
bpi_2013,Normal,Precision,0.930,0.983,0.946,0.958,0.992
bpi_2013,Normal,Recall,0.650,0.735,0.363,0.824,0.691
bpi_2013,Normal,F1-Score,0.770,0.826,0.523,0.886,0.814
bpi_2013,Anomalous,Precision,0.160,0.312,0.133,0.318,0.268
bpi_2013,Anomalous,Recall,0.580,0.887,0.826,0.693,0.951
bpi_2013,Anomalous,F1-Score,0.250,0.456,0.230,0.436,0.418
bpi_2013,Average,Precision,0.853,0.916,0.865,0.894,0.919
bpi_2013,Average,Recall,0.643,0.750,0.409,0.811,0.717
bpi_2013,Average,F1-Score,0.718,0.789,0.493,0.841,0.774
small_log,Normal,Precision,0.970,0.997,1.000,0.989,0.980
small_log,Normal,Recall,0.990,0.959,0.890,0.323,0.648
small_log,Normal,F1-Score,0.980,0.978,0.942,0.484,0.780
small_log,Anomalous,Precision,0.920,0.739,0.507,0.139,0.220
small_log,Anomalous,Recall,0.690,0.978,1.000,0.962,0.879
small_log,Anomalous,F1-Score,0.780,0.839,0.672,0.242,0.352
small_log,Average,Precision,0.965,0.972,0.951,0.904,0.904
small_log,Average,Recall,0.963,0.961,0.901,0.387,0.671
small_log,Average,F1-Score,0.962,0.964,0.915,0.459,0.737
large_log,Normal,Precision,0.970,0.998,1.000,0.943,0.982
large_log,Normal,Recall,0.990,0.935,0.884,0.699,0.662
large_log,Normal,F1-Score,0.980,0.965,0.938,0.803,0.790
large_log,Anomalous,Precision,0.820,0.642,0.489,0.186,0.228
large_log,Anomalous,Recall,0.710,0.985,1.000,0.617,0.887
large_log,Anomalous,F1-Score,0.760,0.773,0.657,0.286,0.362
large_log,Average,Precision,0.955,0.963,0.949,0.867,0.906
large_log,Average,Recall,0.962,0.940,0.895,0.691,0.684
large_log,Average,F1-Score,0.958,0.946,0.910,0.751,0.747
